Concentration,Temperature,ConversionRate,InletFlow,InletConc,InletTemp,CoolantTemp,NextConcentration,NextTemperature,NextConversionRate
0.5000,350.00,0.95,0.03,10.00,300.00,290.00,0.4971,350.00,0.95
0.4971,350.00,0.95,0.09,9.99,300.02,290.07,0.4947,349.99,0.95
0.4947,349.99,0.95,0.09,10.11,300.03,290.15,0.4924,349.99,0.95
0.4924,349.99,0.95,0.05,10.04,300.17,290.12,0.4897,349.99,0.95
0.4897,349.99,0.95,0.22,10.02,300.13,290.28,0.4886,349.98,0.95
0.4886,349.98,0.95,0.21,10.19,300.17,290.32,0.4875,349.97,0.95
0.4875,349.97,0.95,0.19,10.38,300.26,290.27,0.4863,349.96,0.95
0.4863,349.96,0.95,0.25,10.46,300.15,290.37,0.4857,349.94,0.95
0.4857,349.94,0.95,0.41,10.60,300.18,290.28,0.4867,349.92,0.95
0.4867,349.92,0.96,0.26,10.89,300.30,290.34,0.4863,349.91,0.96
0.4863,349.91,0.96,0.26,11.07,300.32,290.36,0.4860,349.90,0.96
0.4860,349.90,0.96,0.04,10.93,300.26,290.36,0.4833,349.90,0.96
0.4833,349.90,0.96,0.00,10.96,300.29,290.46,0.4802,349.90,0.96
0.4802,349.90,0.96,0.10,11.10,300.24,290.51,0.4782,349.89,0.96
0.4782,349.89,0.96,0.00,11.17,300.21,290.50,0.4752,349.89,0.96
0.4752,349.89,0.96,0.03,11.09,300.20,290.58,0.4725,349.89,0.96
0.4725,349.89,0.96,0.16,11.03,300.09,290.63,0.4711,349.88,0.96
0.4711,349.88,0.96,0.22,11.01,300.03,290.60,0.4704,349.87,0.96
0.4704,349.87,0.96,0.07,10.96,300.17,290.64,0.4682,349.87,0.96
0.4682,349.87,0.96,0.08,10.94,300.04,290.75,0.4660,349.86,0.96
0.4660,349.86,0.96,0.03,11.05,300.08,290.72,0.4634,349.86,0.96
0.4634,349.86,0.96,0.06,10.91,299.90,290.72,0.4610,349.86,0.96
0.4610,349.86,0.96,0.27,10.80,299.84,290.59,0.4610,349.85,0.96
0.4610,349.85,0.96,0.20,10.75,299.98,290.51,0.4601,349.84,0.96
0.4601,349.84,0.96,0.26,10.67,300.06,290.66,0.4599,349.82,0.96
0.4599,349.82,0.96,0.22,10.70,300.08,290.52,0.4593,349.81,0.96
0.4593,349.81,0.96,0.25,10.67,300.22,290.44,0.4589,349.80,0.96
0.4589,349.80,0.96,0.03,10.47,300.18,290.51,0.4563,349.80,0.96
0.4563,349.80,0.96,0.24,10.50,299.98,290.46,0.4558,349.79,0.96
0.4558,349.79,0.96,0.32,10.40,299.95,290.48,0.4561,349.77,0.96
0.4561,349.77,0.96,0.40,10.50,299.84,290.52,0.4572,349.75,0.96
0.4572,349.75,0.96,0.27,10.31,299.94,290.71,0.4570,349.74,0.96
0.4570,349.74,0.96,0.36,10.24,299.91,290.78,0.4577,349.72,0.96
0.4577,349.72,0.96,0.51,10.29,299.80,290.97,0.4598,349.69,0.96
0.4598,349.69,0.96,0.50,10.28,299.79,290.71,0.4618,349.67,0.96
0.4618,349.67,0.95,0.44,10.24,299.89,291.00,0.4632,349.65,0.95
0.4632,349.65,0.95,0.56,10.27,299.89,291.00,0.4658,349.62,0.95
0.4658,349.62,0.96,0.54,10.43,299.90,291.06,0.4683,349.59,0.96
0.4683,349.59,0.96,0.45,10.45,299.93,290.91,0.4698,349.57,0.96
0.4698,349.57,0.96,0.58,10.51,300.01,290.85,0.4728,349.54,0.96
0.4728,349.54,0.96,0.60,10.52,300.12,290.86,0.4758,349.51,0.95
0.4758,349.51,0.95,0.61,10.46,300.24,290.96,0.4790,349.48,0.95
0.4790,349.48,0.95,0.67,10.54,300.18,290.99,0.4828,349.45,0.95
0.4828,349.45,0.95,0.69,10.52,300.21,291.02,0.4867,349.41,0.95
0.4867,349.41,0.95,0.53,10.66,300.25,290.88,0.4891,349.39,0.95
0.4891,349.39,0.95,0.65,10.74,300.29,290.62,0.4927,349.36,0.95
0.4927,349.36,0.95,0.71,10.68,300.29,290.66,0.4970,349.32,0.95
0.4970,349.32,0.95,0.68,10.64,300.27,290.58,0.5008,349.29,0.95
0.5008,349.29,0.95,0.85,10.68,300.32,290.69,0.5065,349.25,0.95
0.5065,349.25,0.95,1.00,10.74,300.49,290.77,0.5136,349.20,0.95
0.5136,349.20,0.95,0.96,10.84,300.52,290.64,0.5204,349.15,0.95
0.5204,349.15,0.95,0.94,10.83,300.51,290.70,0.5270,349.11,0.95
0.5270,349.11,0.95,1.00,10.87,300.56,290.61,0.5342,349.06,0.95
0.5342,349.06,0.95,1.00,10.85,300.53,290.57,0.5413,349.01,0.95
0.5413,349.01,0.95,1.00,10.65,300.41,290.52,0.5482,348.96,0.95
0.5482,348.96,0.95,0.78,10.73,300.37,290.67,0.5529,348.92,0.95
